visit_id	wifi_id	date	indices
v5951	5575	17226	262396;262397;262398;262401;262406;262407;262408;262427
v5952	5575	17334	511832;511833;511834;511841;511846;511871;511872;511873;511874;511876;511914;511918;511933
v6248	5917	17216	222251;222252;222253;222254;222258;222262;222263;222318;222328;222331;222341;222347;222387;222491;222497;222503;222504
v6333	6041	17189	101070;101071;101072;101073;101083;101086;101093;101094;101178;101222;101225;101267;101563;101574;101633;101638;101641;101678;101683;101687
v6558	6338	17234	294552;294553;294555;294558;294856;294857;294858
v6559	6338	17327	497176;497177;497178;497179;497180;497184;497199;497257;497258;497262;497273;497280;497324;497326;497330;497331
v6934	6795	17197	134974;134975;134978;135005;135026;135029;135057;135060;135069;135127
v6935	6795	17241	321574
v6936	6795	17291	435761;435762
v6937	6795	17313	469858;469859;469861;469862;469873;469875;469894;469895;469896;469897;469904;469906;469929;469930;469932
v7068	6959	17179	59854;59855;59857;59858;59885;59886;59887;59890;59915;59933;59934;59938;59945;59946
v7069	6959	17181	68430;68431;68432;68436;68439;68461;68462;68477;68479;68480;68481;68482;68532;68533;68542
v7070	6959	17241	323053;323054;323055;323058
v7673	7665	17167	4918;4919;4920;4921;4946;4949;4964;4965;4971;4972;4977;4988
v7674	7665	17201	156301;156302;156305;156310;156319;156368;156377;156387;156389;156392;156412;156422;156565;156566;156576;156585;156598;156600;156712;156731;156744;156756
v7767	7790	17302	451620;451621;451622;451624;451634;451635;451642;451648
v7768	7790	17308	461901;461902;461903;461904
v8118	8214	17177	52061;52070;52071;52098;52099
v8119	8214	17207	183482;183483;183484;183485;183487;183488;183489;183490;183491;183492;183493;183659;183663;183664;183687;183688;183689;183690;183692
v8182	8319	17167	121;122;123;124;125;127
v8183	8319	17244	334399;334412;334413;334414;334415;334420;334432;334446;334447;334450;334455;334557;334831;334834;334837;334838;334841;334905;334908;334961;334977;334978
v8220	8379	17204	168972;168973;168974;168975;168997;168999;169008
v8345	8535	17231	282112;282113;282116;282117
v8346	8535	17347	535985;535986;535987;535997;535998;535999;536001;536017;536043;536078;536098
v8602	8851	17211	198514;198515;198536;198537;198541;198560;198567;198599;198603;198618;198634;198635;198676;198679;198680;198684;198708;198712;198760;198768
v8876	9177	17207	184626;184627;184628;184629;184632
v8877	9177	17236	305392;305393;305397;305398;305399
v8948	9294	17186	87488;87489;87490;87500;87507;87562;87584;87606
v8949	9294	17228	270918;270920;270946
v8950	9294	17311	464878;464879;464880
v8951	9294	17316	479540;479541
v9363	9836	17275	405713;405715;405716;405717;405718;405719;405727
v9436	9924	17340	522281;522282;522890;522891;522892;522903;522907;522925;522931;522950
v9456	9948	17275	405699;405701;405751;405756;405794;405797;405804;405809;405813;405862;405863
v9477	9980	17223	251148;251149;251150
